
Name,Website,Category,Classification,Notes
City of Industry,https://www.cityofindustry.org,Community‑owned utility,CMUA member,Provides municipal utility services
City of Colton,https://www.ci.colton.ca.us,Community‑owned utility,CMUA member,Provides electric and water service
Colusa Indian Community Council,https://www.colusa-nsn.gov,Tribal government,CMUA member,Tribal government with utility services
City of Corona Utilities Department,https://www.coronaca.gov,Community‑owned utility,CMUA member,City of Corona’s water and electric utility
Elsinore Valley Municipal Water District,https://www.evmwd.com,Community‑owned utility,CMUA & ACWA member,Provides water service around Lake Elsinore
Glendale Water & Power,https://www.glendaleca.gov,Community‑owned utility,CMUA & ACWA member,City‑owned water and electric utility
Healdsburg Electric & Water,https://www.ci.healdsburg.ca.us,Community‑owned utility,CMUA member,City of Healdsburg municipal utilities
Imperial Irrigation District,https://www.iid.com,Community‑owned utility,CMUA & ACWA member,Irrigation and energy district serving Imperial Valley
Inland Empire Utilities Agency,https://www.ieua.org,Community‑owned utility,CMUA & ACWA member,Regional wastewater and water reuse agency
Kirkwood Meadows Public Utility District,https://www.kmpud.com,Community‑owned utility,CMUA & ACWA member,"Provides water, wastewater, electric and propane services in Kirkwood"
Lassen Municipal Utility District,https://www.lmud.org,Community‑owned utility,CMUA member,Provides electricity (water services limited)
Lodi Electric Utilities,https://www.lodi.gov,Community‑owned utility,CMUA member,Provides electricity and water for the City of Lodi
"Lompoc, City of",https://www.cityoflompoc.com,Community‑owned utility,CMUA member,City utility services (water and electric)
Long Beach Utilities,https://lbwater.org,Community‑owned utility,CMUA & ACWA member,Water and sewer utility for Long Beach
Merced Irrigation District,https://mercedid.org,Community‑owned utility,CMUA & ACWA member,Irrigation district serving Merced area
Modesto Irrigation District,https://www.mid.org,Community‑owned utility,CMUA & ACWA member,Provides irrigation water and electricity in Modesto area
Mojave Water Agency,https://www.mojavewater.org,Community‑owned utility,CMUA & ACWA member,Manages water resources in the Mojave Desert
Moreno Valley Electric Utility,https://www.moreno-valley.ca.us,Community‑owned utility,CMUA member,City utility services
M‑S‑R Public Power Agency,https://msrpower.org,Community‑owned authority,CMUA member,Joint powers agency for electricity
Municipal Water District of Orange County,https://www.mwdoc.com,Community‑owned utility,CMUA & ACWA member,Wholesale water provider serving Orange County
City of Needles,https://www.cityofneedles.com,Community‑owned utility,CMUA member,City utility services
Northern California Power Agency,https://www.ncpa.com,Community‑owned authority,CMUA member,Joint powers agency for energy
Otay Water District,https://otaywater.gov,Community‑owned utility,CMUA & ACWA member,Serves potable and recycled water in eastern San Diego County
Padre Dam Municipal Water District,https://www.padredam.org,Community‑owned utility,CMUA & ACWA member,"Provides water, wastewater and recycled water services"
Palo Alto Utilities (City of),https://www.cpau.com,Community‑owned utility,CMUA member,Provides electricity and water for Palo Alto
Pasadena Water & Power Department,https://ww5.cityofpasadena.net,Community‑owned utility,CMUA & ACWA member,City‑owned water and electric utility
Pittsburg Power Company – Island Energy,https://islandenergy.com,Community‑owned utility,CMUA member,Provides utility services to Mare Island
Placer County Water Agency,https://www.pcwa.net,Community‑owned utility,CMUA & ACWA member,Provides water and hydroelectric services
Port of Oakland,https://www.portofoakland.com,Port authority,CMUA member,Port with utility functions
Rancho Water (Rancho California Water District),https://www.ranchowater.com,Community‑owned utility,CMUA & ACWA member,Provides water and wastewater services in Temecula area
Rancho Cucamonga Municipal Utility,https://www.cityofrc.us,Community‑owned utility,CMUA member,Provides water and energy services
City of Redding Water Utility,https://www.cityofredding.gov,Community‑owned utility,CMUA member,Provides water service for Redding
Redding Electric Utility,https://www.cityofredding.gov,Community‑owned utility,CMUA member,Electric utility (water services separate)
Roseville Electric Department,https://www.roseville.ca.us,Community‑owned utility,CMUA member,Provides electricity (water delivered by Environmental Utilities)
Roseville Environmental Utilities,https://www.roseville.ca.us,Community‑owned utility,CMUA member,"Provides water, wastewater and solid‑waste services"
Sacramento City Department of Utilities,https://www.cityofsacramento.org,Community‑owned utility,CMUA member,Provides water and wastewater services for Sacramento
San Bernardino Valley Municipal Water District,https://www.sbvmwd.com,Community‑owned utility,CMUA & ACWA member,Regional wholesale water district
San Francisco Public Utilities Commission (repeated),https://sfpuc.org,Municipal utility,CMUA & ACWA member,Provides water and wastewater service to the Bay Area
San Jose (City of),https://www.sanjoseca.gov,Community‑owned utility,CMUA member,City utility services
Santa Ana Municipal Utility Services,https://www.santa-ana.org,Community‑owned utility,CMUA & ACWA member,City‑owned water and sewer services
Santa Clara Water & Sewer Utilities,https://www.santaclaraca.gov,Community‑owned utility,CMUA member,Provides water and sewer services for Santa Clara
Santa Margarita Water District,https://www.smwd.com,Community‑owned utility,CMUA & ACWA member,Provides water and wastewater services in south Orange County
Sweetwater Authority,https://www.sweetwater.org,Community‑owned utility,CMUA & ACWA member,Provides potable water to South Bay communities
Silicon Valley Power,https://www.siliconvalleypower.com,Community‑owned utility,CMUA member,Electric utility for Santa Clara
SMUD (Sacramento Municipal Utility District),https://www.smud.org,Community‑owned utility,CMUA member,Electric utility; also provides some water services
Southern California Public Power Authority,https://www.scppa.org,Joint powers authority,CMUA member,Joint power agency for energy
State Water Contractors,https://www.swc.org,Statewide water association,CMUA member,Association representing state water project contractors
Transmission Agency of Northern California,https://www.tanc.us,Joint powers authority,CMUA member,Provides electric transmission services
Trinity Public Utilities District,https://www.trinitypud.com,Community‑owned utility,CMUA member,Provides electric and water services in Trinity County
Truckee Donner Public Utility District,https://www.tdpud.org,Community‑owned utility,CMUA & ACWA member,Provides electric and water services in Truckee and Donner Lake areas
Turlock Irrigation District,https://www.tid.org,Community‑owned utility,CMUA & ACWA member,Provides irrigation water and electricity
City of Ukiah,https://www.cityofukiah.com,Community‑owned utility,CMUA member,City utility services
Valley Water (Santa Clara Valley Water District),https://www.valleywater.org,Community‑owned utility,CMUA & ACWA member,Wholesale water provider for Santa Clara County
City of Vernon Public Utilities Department,https://www.cityofvernon.org,Community‑owned utility,CMUA member,City utility services
City of Victorville,https://www.victorvilleca.gov,Community‑owned utility,CMUA member,City water and utility services
West Basin Municipal Water District,https://www.westbasin.org,Community‑owned utility,CMUA & ACWA member,Wholesale water district serving the West Basin region
West Valley Water District,https://www.wvwd.org,Community‑owned utility,CMUA & ACWA member,Water district serving parts of San Bernardino County
Western Water (Western Municipal Water District),https://www.wmwd.com,Community‑owned utility,CMUA & ACWA member,Regional water and wastewater district
Yuba Water Agency,https://www.yubawater.org,Community‑owned utility,CMUA & ACWA member,Regional agency managing water and hydropower
Zone 7 Water Agency,https://www.zone7water.com,Community‑owned utility,CMUA & ACWA member,Wholesale water agency serving Livermore‑Amador Valley
Alameda County Water District,https://www.acwd.org,Community‑owned utility,ACWA member,Provides water service to southern Alameda Countyview-source:https://www.acwa.com/about/directory/
Alpaugh Community Services District,https://alpaughcsd.org,Community‑owned utility,ACWA member,Small community services district
Alpaugh Irrigation District,https://www.alpaughid.com,Community‑owned utility,ACWA member,Irrigation district
Alta Irrigation District,https://www.altaid.org,Community‑owned utility,ACWA member,Irrigation district
Amador Water Agency,https://amadorwater.org,Community‑owned utility,ACWA & CMUA member,Provides water service in Amador County
American River Flood Control District,https://www.arfcd.org,Flood control district,ACWA member,Manages flood control along American River
Antelope Valley State Water Contractors,https://www.avswca.org,Community‑owned authority,ACWA member,Joint powers authority for state water
Antelope Valley–East Kern Water Agency,https://www.avek.org,Community‑owned utility,ACWA member,State water contractor serving Antelope Valley
Apple Valley Heights County Water District,https://avhcwd.specialdistrict.org,Community‑owned utility,ACWA member,Water district for Apple Valley Heights
Aromas Water District,https://www.aromaswaterdistrict.org,Community‑owned utility,ACWA member,Provides water service in Aromas area
Arroyo Santa Rosa Groundwater Sustainability Agency,https://www.camrosa.com,Groundwater agency,ACWA member,GSA associated with Camrosa Water District
Arvin‑Edison Water Storage District,https://www.aewsd.org,Community‑owned utility,ACWA member,Irrigation and water storage district
Bear Valley Basin Groundwater Sustainability Agency,https://bvbgsa.org,Groundwater agency,ACWA member,GSA for Bear Valley Basin
Bear Valley Water District,https://bvwd.ca.gov,Community‑owned utility,ACWA member,Water district serving Bear Valley
Beaumont‑Cherry Valley Water District,https://bcvwd.org,Community‑owned utility,ACWA member,Water district serving Beaumont and Cherry Valley
Bella Vista Water District,https://www.bvwd.org,Community‑owned utility,ACWA member,Water district near Redding
Belridge Water Storage District,https://www.belridgewsd.com,Community‑owned utility,ACWA member,Irrigation district in Kern County
Berrenda Mesa Water District,https://www.bmwd.org,Community‑owned utility,ACWA member,Irrigation district in Kern County
Big Bear City Community Services District,https://www.bbccsd.org,Community‑owned utility,ACWA member,"Provides water, sewer and refuse services"
Big Bear Municipal Water District,https://www.bbmwd.com,Community‑owned utility,ACWA member,Manages Big Bear Lake and water supply
Biggs West Gridley Water District,https://www.bwgwater.com,Community‑owned utility,ACWA member,Irrigation district in Butte County
Bodega Bay Public Utility District,https://www.bodegabaypud.com,Community‑owned utility,ACWA member,Provides water and sewer service in Bodega Bay
Bolinas Community Public Utility District,https://www.bcpud.org,Community‑owned utility,ACWA member,"Provides water, sewer and solid‑waste services"
Boron Community Services District,https://www.boroncsd.com,Community‑owned utility,ACWA member,Provides water and community services in Boron
Borrego Water District,https://www.borregowd.org,Community‑owned utility,ACWA member,Provides water service in Borrego Springs
Brooktrails Township Community Services District,https://www.btcsd.org,Community‑owned utility,ACWA member,Provides water and services in Brooktrails Township
Browns Valley Irrigation District,https://www.bvid.org,Community‑owned utility,ACWA member,Irrigation district in Yuba County
Buena Vista Water Storage District,https://www.bvh2o.com,Community‑owned utility,ACWA member,Irrigation district in Kern County
Butte Water District,https://www.buttewaterdistrict.org,Community‑owned utility,ACWA member,Irrigation district in Butte County
Cachuma Operation and Maintenance Board,https://www.cachuma-board.org,Joint powers authority,ACWA member,Operates Cachuma Project on Santa Ynez River
Calaveras County Water District,https://www.ccwd.org,Community‑owned utility,ACWA member,Water and wastewater district in Calaveras County
Calaveras Public Utility District,https://www.cpud.org,Community‑owned utility,ACWA member,Water utility in Calaveras County
Calleguas Municipal Water District,https://www.calleguas.com,Community‑owned utility,ACWA member,Wholesale water district serving Ventura County
Camrosa Water District (repeated),https://www.camrosa.com,Community‑owned utility,ACWA & CMUA member,Provides water service in Ventura County
Carlsbad Municipal Water District,https://www.carlsbadca.gov,Community‑owned utility,ACWA member,City of Carlsbad water district
Carmichael Water District,https://carmichaelwd.org,Community‑owned utility,ACWA member,Water district serving Carmichael
Carpinteria Valley Water District,https://www.cvwd.net,Community‑owned utility,ACWA member,Water district in Carpinteria Valley
Casitas Municipal Water District,https://www.casitaswater.org,Community‑owned utility,ACWA member,Water district serving Ojai Valley
Castroville Community Services District,https://www.castrovillecsd.org,Community‑owned utility,ACWA member,Provides water and sewer services in Castroville
Cawelo Water District,https://www.cawelowd.org,Community‑owned utility,ACWA member,Irrigation district in Kern County
Central Basin Municipal Water District,https://www.centralbasin.org,Community‑owned utility,ACWA member,Wholesale water district serving southeast Los Angeles County
Central California Irrigation District,https://www.ccidwater.org,Community‑owned utility,ACWA member,Irrigation district in the San Joaquin Valley
Central Coast Water Authority,https://www.ccwa.com,Joint powers authority,ACWA member,Imports State Water Project supplies for Santa Barbara County
Channel Islands Beach Community Services District,https://www.channelislandsbeachcsd.com,Community‑owned utility,ACWA member,Provides water and sewer service in Channel Islands Beach
Chino Basin Water Conservation District,https://www.cbwcd.org,Special district,ACWA member,Promotes water conservation in Chino Basin
Chino Basin Watermaster,https://www.cbwm.org,Joint powers authority,ACWA member,Manages groundwater rights in Chino Basin
Circle Oaks County Water District,https://www.cocwd.com,Community‑owned utility,ACWA member,Provides water service in Circle Oaks
Citrus Heights Water District,https://www.chwd.org,Community‑owned utility,ACWA member,Water district in Citrus Heights
City of Azusa – Light & Water,https://www.ci.azusa.ca.us,Community‑owned utility,ACWA & CMUA member,City‑owned water and electric utility
City of Benicia,https://www.ci.benicia.ca.us,Municipal utility,ACWA member,Provides water service in Benicia
City of Buellton,https://www.cityofbuellton.com,Municipal utility,ACWA member,City water services
City of Burbank – Water & Power,https://www.burbankwaterandpower.com,Community‑owned utility,ACWA & CMUA member,City water and power utility
City of Camarillo,https://www.ci.camarillo.ca.us,Municipal utility,ACWA member,City water services
City of Corona – Department of Water and Power,https://www.coronaca.gov,Municipal utility,ACWA & CMUA member,City water and power utility
City of Escondido,https://www.escondido.org,Municipal utility,ACWA member,City water services
City of Fairfield,https://www.fairfield.ca.gov,Municipal utility,ACWA member,City water services
City of Fresno – Department of Public Utilities,https://www.fresno.gov,Municipal utility,ACWA member,City water utility
City of Glendale – Water & Power,https://www.glendaleca.gov,Community‑owned utility,ACWA & CMUA member,City water and power utility
City of Glendora – Water Division,https://www.cityofglendora.org,Municipal utility,ACWA member,City water services
City of La Verne,https://www.ci.la-verne.ca.us,Municipal utility,ACWA member,City water services
City of Lincoln,https://www.lincolnca.gov,Municipal utility,ACWA member,City water services
City of Long Beach – Public Utilities Department,https://lbutilities.org,Municipal utility,ACWA & CMUA member,Water and sewer services for Long Beach
City of Modesto – Utilities Department,https://www.modestogov.com,Municipal utility,ACWA & CMUA member,City water services
